11-06 19:54:03.058 INFO  [main] [io.lettuce.core.KqueueProvider] : Starting without optional kqueue library
11-06 19:54:17.132 INFO  [main] [com.petrel.slots.core.common.quarze.PushJackpot] : start jackpot-push future , fixed second : 0
11-06 19:54:17.156 INFO  [main] [c.p.s.core.common.service.GameServerStartService] : start game: XCXML,WLZB,CSLL,AJYH,YGBH,KBMXT,SHZ,JZSF,YNKB,TGG,SGQQQ,FKHZ,XMZZ,GEF,SXLM,XJPM,GXFC,DYXM,MLCS,BQTP,TTSGJ,SGJ,MLHG,JSYC
11-06 19:54:17.432 WARN  [main] [com.zebra.net.servers.ZebraRpcServer] : [server side] bolt netty low water mark is 16384 bytes, high water mark is 32768 bytes
11-06 19:54:17.443 WARN  [main] [com.zebra.net.servers.AbstractRemotingServer] : Prepare to start server on port 9527 
11-06 19:54:17.472 INFO  [Zebra-boss-2-thread-1] [io.netty.handler.logging.LoggingHandler] : [id: 0x83e36fb9] REGISTERED
11-06 19:54:17.474 INFO  [Zebra-boss-2-thread-1] [io.netty.handler.logging.LoggingHandler] : [id: 0x83e36fb9] BIND: 0.0.0.0/0.0.0.0:9527
11-06 19:54:17.482 INFO  [Zebra-boss-2-thread-1] [io.netty.handler.logging.LoggingHandler] : [id: 0x83e36fb9, L:/[0:0:0:0:0:0:0:0%0]:9527] ACTIVE
11-06 19:54:17.994 INFO  [main] [com.zebra.net.servers.ZebraRpcServer] : Rpc AbstractBootstrap$PendingRegistrationPromise@6198e9b5(success) 1762458857994
11-06 19:54:18.872 INFO  [SpringContextShutdownHook] [o.s.scheduling.concurrent.ThreadPoolTaskScheduler] : Shutting down ExecutorService 'taskScheduler'
11-06 19:54:18.906 INFO  [SpringContextShutdownHook] [o.s.scheduling.concurrent.ThreadPoolTaskScheduler] : Shutting down ExecutorService 'taskScheduler'
11-06 19:54:19.067 INFO  [SpringContextShutdownHook] [c.a.n.s.c.a.c.NacosValueAnnotationBeanPostProcessor] : class com.alibaba.nacos.spring.context.annotation.config.NacosValueAnnotationBeanPostProcessor was destroying!
11-06 19:54:19.067 INFO  [SpringContextShutdownHook] [c.a.n.s.b.f.a.AnnotationNacosInjectedBeanPostProcessor] : class com.alibaba.nacos.spring.beans.factory.annotation.AnnotationNacosInjectedBeanPostProcessor was destroying!
